,Name,BURDEN_RESCALED_AV_PCT,BURDEN_RESCALED_MAX_PCT,MAX_POLL_RAW,MEAN_POLL_RAW,OGBURDEN_AV,OGBURDEN_MAX
1,Ahern Home,5.691056911,7.317073171,34.38327414,23.96526226,12.19512195,19.51219512
2,Albany Waterfront Trail-Albany Bulb,89.43089431,90.24390244,60.13210098,52.56645591,88.61788618,83.7398374
3,Albe Home,92.68292683,96.74796748,46.27273619,38.10089326,57.72357724,54.47154472
4,Alexander Home,91.8699187,91.8699187,56.59650758,41.71351875,69.10569106,77.23577236
5,Andrews Home,54.47154472,36.58536585,35.33385722,32.95785471,37.39837398,26.01626016
6,Bataclan Home,72.35772358,74.79674797,54.72614651,41.42096796,68.29268293,71.54471545
7,Bates-Luterman Home,47.15447154,66.66666667,47.93724469,39.66939932,64.22764228,59.3495935
8,Beery Home,44.71544715,12.19512195,33.62227227,33.53048262,43.08943089,12.19512195
9,Belau Home,34.14634146,21.13821138,48.6615453,41.81316267,70.73170732,60.16260163
10,Belgum Trail,45.52845528,69.91869919,45.74452348,25.9211051,18.69918699,53.65853659
11,Berges Home,61.78861789,88.61788618,56.54369788,38.28369033,59.3495935,76.42276423
12,Berges Studio,78.86178862,78.86178862,55.53451652,51.52211511,83.7398374,74.79674797
13,Blake Garden,25.20325203,33.33333333,30.64176576,25.57915443,17.88617886,5.691056911
14,Booker T. Anderson Park,79.67479675,81.30081301,56.59650758,53.31889377,90.24390244,77.23577236
15,Borozan Home,83.7398374,91.05691057,60.30191483,54.50005009,91.05691057,89.43089431
16,Briones 1 South,10.56910569,8.943089431,30.66545583,21.23416899,6.504065041,6.504065041
17,Briones 2 North,8.943089431,0.81300813,22.27927363,20.4381594,3.25203252,0.81300813
18,Bushrod Community Garden,66.66666667,73.17073171,54.72614651,38.86508836,62.60162602,71.54471545
19,Butterfly Hill,46.34146341,71.54471545,40.83739628,27.02265329,20.32520325,44.71544715
20,Carlen Home,57.72357724,41.46341463,38.15928234,33.50156958,42.27642276,38.21138211
21,Carquinez,60.97560976,56.09756098,37.13741402,37.00091344,56.09756098,32.5203252
22,Chabot Space Center,3.25203252,1.62601626,24.24942461,21.02200429,5.691056911,1.62601626
23,Chen Home,64.22764228,67.4796748,47.54911336,37.72895737,56.91056911,56.91056911
24,Claremont-Clark Kerr Trak,17.88617886,39.02439024,35.36863185,31.64844663,33.33333333,27.64227642
25,Cleary Home,26.01626016,15.44715447,34.01873279,26.59387214,19.51219512,16.2601626
26,Corica Park Golf Course,16.2601626,72.35772358,61.08829774,36.25024251,52.03252033,96.74796748
27,Crown Memorial State Beach,26.82926829,17.07317073,47.771755,39.23386891,63.41463415,57.72357724
28,Dunn Home,85.36585366,75.6097561,54.72614651,47.37691772,76.42276423,71.54471545
29,Dwyer Home,90.24390244,92.68292683,60.30191483,56.45885128,93.49593496,89.43089431
30,Ehara-Brown Home,84.55284553,76.42276423,56.59650758,50.10686565,80.48780488,77.23577236
31,Emerson Home,59.3495935,65.85365854,45.16063125,38.67160619,61.78861789,52.84552846
