Site Name,Start Date,End Date,Num Days
Ahern Home,01/25/2023,02/01/2023,7
Albany Waterfront Trail-Albany Bulb,11/29/2023,12/13/2023,14
Albe Home,11/21/2022,12/06/2022,15
Alexander Home,01/27/2023,02/03/2023,7
Andrews Home,01/25/2023,02/11/2023,17
Bataclan Home,01/24/2023,02/11/2023,18
Bates-Luterman Home,11/28/2023,12/05/2023,7
Beery Home,11/22/2022,12/03/2022,11
Belau Home,11/30/2023,12/14/2023,14
Belgum Trail,11/19/2023,12/04/2023,15
Berges Home,01/28/2023,02/11/2023,14
Berges Studio,02/16/2023,03/03/2023,15
Blake Garden,11/09/2023,11/27/2023,18
Booker T. Anderson Park,11/24/2023,12/02/2023,8
Borozan Home,11/30/2023,12/14/2023,14
Briones 1 South,11/26/2023,12/11/2023,15
Briones 2 North,11/26/2023,12/11/2023,15
Bushrod Community Garden,01/28/2023,02/11/2023,14
Butterfly Hill,11/09/2023,11/18/2023,9
Carlen Home,12/09/2023,12/24/2023,15
Carquinez,11/26/2023,12/03/2023,7
Chabot Space Center,11/06/2023,11/20/2023,14
Chen Home,11/22/2022,12/03/2022,11
Claremont-Clark Kerr Trail,11/07/2023,11/22/2023,15
Cleary Home,01/26/2023,02/01/2023,6
Corica Park Golf Course,02/21/2023,02/24/2023,3
Crown Memorial State Beach,11/30/2023,12/14/2023,14
Dunn Home,11/22/2022,12/03/2022,11
Dwyer Home,12/06/2023,12/20/2023,14
Ehara-Brown Home,01/27/2023,02/10/2023,14
Emerson Home,11/27/2022,12/11/2022,14
Estien Home,02/20/2023,03/07/2023,15
Fahrer Home,01/26/2023,02/02/2023,7
Foothill Lot,11/07/2023,11/22/2023,15
Fortmann Home,11/23/2022,12/07/2022,14
Frey Home,02/16/2023,02/24/2023,8
Fuller Home,01/25/2023,02/01/2023,7
Getz Home,11/09/2023,11/13/2023,4
Gunther-Murphy Home,02/16/2023,03/03/2023,15
Hamilton Home,01/24/2023,02/09/2023,16
Harley Home,02/16/2023,02/23/2023,7
Herman Home,11/10/2023,11/18/2023,8
Hilltop Lake Park,11/09/2023,11/23/2023,14
Hirooka Home,01/25/2023,02/01/2023,7
Hoover Home,11/21/2022,12/02/2022,11
Huckleberry Botanic Regional Preserve,11/06/2023,11/20/2023,14
Huntsinger Home,11/21/2022,12/02/2022,11
Jean Sweeney Park,11/30/2023,12/14/2023,14
John Herbert Davis Park,12/04/2023,12/11/2023,7
Johns Home,11/23/2022,12/03/2022,10
Kennedy Grove,11/19/2023,12/04/2023,15
Lake Chabot Dumpster,12/01/2023,12/13/2023,12
Lake Chabot Valley,12/01/2023,12/15/2023,14
Lawerence Hall of Science,11/07/2023,11/22/2023,15
Leadingham Home #2 (Front),02/10/2023,02/16/2023,6
Lerman Home,01/24/2023,01/28/2023,4
Lim Home,11/28/2023,12/05/2023,7
Maness Home,01/24/2023,01/31/2023,7
Marcus Home,01/27/2023,02/03/2023,7
Marina Bay Park,11/24/2023,12/11/2023,17
Mason Home,11/23/2022,12/07/2022,14
McKinley Park,11/30/2023,12/07/2023,7
McLaughlin Eastshore State Park,11/29/2023,12/13/2023,14
Merrill Home,01/26/2023,02/10/2023,15
Metropolitan Golf Links,12/01/2023,12/15/2023,14
Middleton Home,02/20/2023,02/26/2023,6
Miller Knox-Crest Trail,11/24/2023,12/02/2023,8
Miller Knox-Pickleweed,11/24/2023,12/02/2023,8
Mira Vista Park,11/19/2023,12/04/2023,15
Mirmalek Home,11/23/2022,12/07/2022,14
Monarch Bay Golf Club,11/28/2023,12/05/2023,7
Morello-Frosch Home,11/22/2022,12/03/2022,11
Neumann Home,11/06/2023,11/22/2023,16
Nicholl Park,11/27/2023,12/11/2023,14
North Richmond Ballpark,11/08/2023,11/22/2023,14
Ochoa Home,12/08/2023,12/22/2023,14
Osborne Home,12/01/2023,12/15/2023,14
Oyster Bay Regional Shoreline,11/30/2023,12/14/2023,14
OZ Cali Trail,02/17/2023,02/24/2023,7
OZ Creek,02/17/2023,03/11/2023,22
OZ SEKI Gate,02/17/2023,03/11/2023,22
Phoenixx Home,01/27/2023,02/03/2023,7
Picone Home,11/23/2022,12/07/2022,14
Point Isabel Regional Shoreline,11/24/2023,12/02/2023,8
Point Pinole East,11/08/2023,11/22/2023,14
Point Pinole South,11/09/2023,11/15/2023,6
Point Pinole West,11/08/2023,11/22/2023,14
Pointe Molate Beach Park,11/24/2023,12/02/2023,8
Rifle Range Road Trailhead,11/19/2023,12/11/2023,22
Roberts Regional-Graham Trail,11/06/2023,11/13/2023,7
Rokoff Home,02/09/2023,02/24/2023,15
Scharnagal Home,11/23/2022,12/03/2022,10
Schell Home,11/21/2022,12/02/2022,11
Scott Home,11/27/2022,12/11/2022,14
Shannon Home,11/21/2022,12/06/2022,15
Sherman Home,11/22/2022,12/02/2022,10
Sherrer Home,02/09/2023,02/24/2023,15
Shunick Home,02/17/2023,02/23/2023,6
Sibley Volcanic Regional Preserve,11/06/2023,11/20/2023,14
Skyline Gate Staging Area,11/06/2023,11/20/2023,14
Sobrante Ridge Regional Preserve,11/09/2023,11/18/2023,9
Squire Home,11/28/2023,12/05/2023,7
Sunset View Cemetery ,02/21/2023,03/07/2023,14
Tarvin Home,11/21/2022,12/06/2022,15
Temescal Regional Recreation Area,11/06/2023,11/13/2023,7
The Dog Social Club,02/16/2023,03/03/2023,15
Tilden Nature Area-Jewel Lake,11/10/2023,11/24/2023,14
Tilden Nature Area-Loop Road Parking,11/10/2023,11/16/2023,6
Tilden Regional Park-Arroyo Pkwy,11/10/2023,11/24/2023,14
Tilden Regional Park-Lake Anza,11/10/2023,11/24/2023,14
Tilden Regional Park-Nimitz Way,11/10/2023,11/24/2023,14
Tilden Regional Park-Seaview Trail,11/10/2023,11/24/2023,14
Tudor Home,01/26/2023,02/02/2023,7
UC Gill Tract,11/29/2023,12/06/2023,7
UCB Women's Faculty Club,11/07/2023,11/13/2023,6
University Village Community Garden,11/29/2023,12/13/2023,14
Urban Tilth's Edible Forest,11/29/2023,12/13/2023,14
Wakefield Home,01/26/2023,02/09/2023,14
Wildcat Canyon Regional Park,11/19/2023,12/04/2023,15
Wildcat Marsh Staging Area,11/08/2023,11/22/2023,14
Wilkinson Home,11/22/2022,12/04/2022,12
Williams Home,02/20/2023,03/07/2023,15
Wolff Home,11/23/2022,12/07/2022,14
YES Nature to Neighborhoods,11/08/2023,11/27/2023,19
