"","Date","daily_visits","Name"
"1",2022-01-01,1832,"Ahern Home"
"2",2022-01-02,1481,"Ahern Home"
"3",2022-01-03,3076,"Ahern Home"
"4",2022-01-04,1932,"Ahern Home"
"5",2022-01-05,2715,"Ahern Home"
"6",2022-01-06,2997,"Ahern Home"
"7",2022-01-07,2888,"Ahern Home"
"8",2022-01-08,2718,"Ahern Home"
"9",2022-01-09,1970,"Ahern Home"
"10",2022-01-10,1940,"Ahern Home"
"11",2022-01-11,3062,"Ahern Home"
"12",2022-01-12,2818,"Ahern Home"
"13",2022-01-13,2980,"Ahern Home"
"14",2022-01-14,2673,"Ahern Home"
"15",2022-01-15,2114,"Ahern Home"
"16",2022-01-16,3350,"Ahern Home"
"17",2022-01-17,3247,"Ahern Home"
"18",2022-01-18,2233,"Ahern Home"
"19",2022-01-19,2309,"Ahern Home"
"20",2022-01-20,2808,"Ahern Home"
"21",2022-01-21,3812,"Ahern Home"
"22",2022-01-22,2967,"Ahern Home"
"23",2022-01-23,3921,"Ahern Home"
"24",2022-01-24,2698,"Ahern Home"
"25",2022-01-25,4431,"Ahern Home"
"26",2022-01-26,3116,"Ahern Home"
"27",2022-01-27,2580,"Ahern Home"
"28",2022-01-28,3814,"Ahern Home"
"29",2022-01-29,3467,"Ahern Home"
"30",2022-01-30,1820,"Ahern Home"
"31",2022-01-31,2378,"Ahern Home"
"32",2022-02-01,2290,"Ahern Home"
"33",2022-02-02,3590,"Ahern Home"
"34",2022-02-03,3379,"Ahern Home"
"35",2022-02-04,2460,"Ahern Home"
"36",2022-02-05,3436,"Ahern Home"
"37",2022-02-06,2961,"Ahern Home"
"38",2022-02-07,2639,"Ahern Home"
"39",2022-02-08,2570,"Ahern Home"
"40",2022-02-09,3212,"Ahern Home"
"41",2022-02-10,2685,"Ahern Home"
"42",2022-02-11,2745,"Ahern Home"
"43",2022-02-12,2161,"Ahern Home"
"44",2022-02-13,3259,"Ahern Home"
"45",2022-02-14,3263,"Ahern Home"
"46",2022-02-15,2954,"Ahern Home"
"47",2022-02-16,3822,"Ahern Home"
"48",2022-02-17,3968,"Ahern Home"
"49",2022-02-18,4166,"Ahern Home"
"50",2022-02-19,2553,"Ahern Home"
"51",2022-02-20,3194,"Ahern Home"
"52",2022-02-21,3216,"Ahern Home"
"53",2022-02-22,4068,"Ahern Home"
"54",2022-02-23,3052,"Ahern Home"
"55",2022-02-24,2590,"Ahern Home"
"56",2022-02-25,2984,"Ahern Home"
"57",2022-02-26,3215,"Ahern Home"
"58",2022-02-27,2202,"Ahern Home"
"59",2022-02-28,2771,"Ahern Home"
"60",2022-03-01,2813,"Ahern Home"
"61",2022-03-02,2893,"Ahern Home"
"62",2022-03-03,3138,"Ahern Home"
"63",2022-03-04,3654,"Ahern Home"
"64",2022-03-05,3723,"Ahern Home"
"65",2022-03-06,3758,"Ahern Home"
"66",2022-03-07,2898,"Ahern Home"
"67",2022-03-08,3745,"Ahern Home"
"68",2022-03-09,3186,"Ahern Home"
"69",2022-03-10,3871,"Ahern Home"
"70",2022-03-11,3330,"Ahern Home"
"71",2022-03-12,2656,"Ahern Home"
"72",2022-03-13,3009,"Ahern Home"
"73",2022-03-14,2659,"Ahern Home"
"74",2022-03-15,3590,"Ahern Home"
