Date,daily_visits,Name
1/1/22,1832,Ahern.Home
1/2/22,1481,Ahern.Home
1/3/22,3076,Ahern.Home
1/4/22,1932,Ahern.Home
1/5/22,2715,Ahern.Home
1/6/22,2997,Ahern.Home
1/7/22,2888,Ahern.Home
1/8/22,2718,Ahern.Home
1/9/22,1970,Ahern.Home
1/10/22,1940,Ahern.Home
1/11/22,3062,Ahern.Home
1/12/22,2818,Ahern.Home
1/13/22,2980,Ahern.Home
1/14/22,2673,Ahern.Home
1/15/22,2114,Ahern.Home
1/16/22,3350,Ahern.Home
1/17/22,3247,Ahern.Home
1/18/22,2233,Ahern.Home
1/19/22,2309,Ahern.Home
1/20/22,2808,Ahern.Home
1/21/22,3812,Ahern.Home
1/22/22,2967,Ahern.Home
1/23/22,3921,Ahern.Home
1/24/22,2698,Ahern.Home
1/25/22,4431,Ahern.Home
1/26/22,3116,Ahern.Home
1/27/22,2580,Ahern.Home
1/28/22,3814,Ahern.Home
1/29/22,3467,Ahern.Home
1/30/22,1820,Ahern.Home
1/31/22,2378,Ahern.Home
2/1/22,2290,Ahern.Home
2/2/22,3590,Ahern.Home
2/3/22,3379,Ahern.Home
2/4/22,2460,Ahern.Home
2/5/22,3436,Ahern.Home
2/6/22,2961,Ahern.Home
2/7/22,2639,Ahern.Home
2/8/22,2570,Ahern.Home
2/9/22,3212,Ahern.Home
2/10/22,2685,Ahern.Home
2/11/22,2745,Ahern.Home
2/12/22,2161,Ahern.Home
2/13/22,3259,Ahern.Home
2/14/22,3263,Ahern.Home
2/15/22,2954,Ahern.Home
2/16/22,3822,Ahern.Home
2/17/22,3968,Ahern.Home
2/18/22,4166,Ahern.Home
2/19/22,2553,Ahern.Home
2/20/22,3194,Ahern.Home
2/21/22,3216,Ahern.Home
2/22/22,4068,Ahern.Home
2/23/22,3052,Ahern.Home
2/24/22,2590,Ahern.Home
2/25/22,2984,Ahern.Home
2/26/22,3215,Ahern.Home
2/27/22,2202,Ahern.Home
2/28/22,2771,Ahern.Home
3/1/22,2813,Ahern.Home
3/2/22,2893,Ahern.Home
