Site.Name,mean_daily_visits,median_daily_visits,mean_weekday_visits,mean_weekend_visits
Ahern Home,3378,3316.5,3549.8333333333335,2862.5
Albany Waterfront Trail-Albany Bulb,7833.2,7103,6862.909090909091,10501.5
Albe Home,8375.125,8460,8073,9281.5
Alexander Home,21409.875,21412.5,21328.166666666668,21655
Andrews Home,9038.166666666666,8973.5,9255.692307692309,8472.6
Bataclan Home,47398.47368421053,48167,49770.21428571428,40757.6
Bates-Luterman Home,15974,15117,15410.833333333334,17663.5
Beery Home,5465,5465,5465,NA
Belau Home,15541.533333333333,15352,14905,17292
Belgum Trail,8436,8528,8436,NA
Berges Home,28880.466666666667,29033,28023.1,30595.2
Berges Studio,42079.3125,41369,41555.583333333336,43650.5
Blake Garden,3302.7894736842104,3325,3641.3076923076924,2569.3333333333335
Booker T. Anderson Park,12728.111111111111,12600,12105.5,13973.333333333334
Borozan Home,12457,12210,12879.363636363636,11295.5
Briones 1 South,914.3333333333334,820,914.3333333333334,NA
Briones 2 North,694.3333333333334,680,694.3333333333334,NA
Bushrod Community Garden,20259.866666666665,20253,21019.6,18740.4
Butterfly Hill,5513.1,5462.5,4885.857142857143,6976.666666666667
Carlen Home,28038.1875,27807.5,28220.2,27734.833333333332
Carquinez,1032.75,966.5,1035.2,1028.6666666666667
Chabot Space Center,9946.333333333334,9937,9946.333333333334,NA
Chen Home,17674.25,18079,18311.88888888889,15761.333333333334
Claremont-Clark Kerr Track,35702.3125,36387.5,33618.666666666664,41953.25
Cleary Home,8054,8054,8054,NA
Corica Park Golf Course,2894.75,2850.5,2894.75,NA
Crown Memorial State Beach,12075.133333333333,11790,11599.727272727272,13382.5
Dunn Home,22514.25,23020,22816.777777777777,21606.666666666668
Dwyer Home,12536.6,12379,12820.454545454546,11756
Ehara-Brown Home,16125.6,15945,16168,16009
Emerson Home,23212.8,23389,24168,21302.4
Estien Home,16524,16568,15788.583333333334,18730.25
Fahrer Home,9133,9986.5,10007.5,6509.5
Foothill Lot,52762,62356,54961.916666666664,46162.25
Fortmann Home,5579.2,5396,5815.363636363636,4929.75
Frey Home,24225.666666666668,22259,24292.285714285714,23992.5
Fuller Home,5439.75,5239.5,5587.833333333333,4995.5
Getz Home,45125,33856,53194,33021.5
Gunther-Murphy Home,11516.5,11581,11311.583333333334,12131.25
Hamilton Home,4537,4537,4537,NA
Harley Home,14722.5,14712,14375.166666666666,15764.5
Herman Home,20565.666666666668,19606,20751.666666666668,20193.666666666668
Hilltop Lake Park,17384.266666666666,17922,17537.81818181818,16962
Hirooka Home,11197.625,11221.5,11505.833333333334,10273
Hoover Home,12278.5,11576.5,12784.9,9746.5
Huckleberry Botanic Regional Preserve,10270.333333333334,9663,10270.333333333334,NA
Huntsinger Home,3589.75,3359.5,3665.8,3209.5
Jean Sweeney Park,10926.066666666668,10926,10531.09090909091,12012.25
John Herbert Davis Park,16858.75,15551.5,15612.666666666666,20597
Johns Home,2130.181818181818,2167,2138.125,2109
Kennedy Grove,5763.333333333333,5626,5763.333333333333,NA
Lake Chabot Dumpster,2451.230769230769,2310,2186.1111111111113,3047.75
Lake Chabot Valley,2437,2375,2234,2995.25
Lawrence Hall of Science,19347.5,22448,19967.666666666668,17487
Leadingham Home,18342.85714285714,18797,19805.2,14687
Lerman Home,1902.6,1683,1841,2149
Lim Home,43467.875,44752.5,45643.166666666664,36942
Maness Home,12525.625,12288.5,11970.833333333334,14190
Marcus Home,13675.25,13463,13694.5,13617.5
Marina Bay Park,5146.833333333333,5001,5460.25,4520
Mason Home,12062.333333333334,12095,12281.818181818182,11458.75
McKinley Park,30427.75,29288,29489.666666666668,33242
McLaughlin Eastshore State Park,14548.6,13653,13282.363636363636,18030.75
Merrill Home,3861.5,3793.5,3989.3333333333335,3478
Metropolitan Golf Links,18828,18962,18593.090909090908,19474
Middleton Home,22022.14285714286,21769,22203.2,21569.5
Miller Knox-Crest Trail,1708.3333333333333,1652,1907.5,1310
Miller Knox-Pickleweed,7100,7100,7100,NA
Mira Vista Park,18714.0625,18574,18264.18181818182,19703.8
Mirmalek Home,3720.2,3664,3580.090909090909,4105.5
Monarch Bay Golf Club,8825.75,8404,7933.166666666667,11503.5
Morello-Frosch Home,20952.166666666668,22322.5,20328.222222222223,22824
Neumann Home,36643.294117647056,37433,36232.53846153846,37978.25
Nicholl Park,15306.4,15219,14769.272727272728,16783.5
North Richmond Ballpark,7182.6,7215,7027.454545454545,7609.25
Ochoa Home,7329,7151,6778.727272727273,8842.25
Osborne Home,8565,8565,8565,NA
Oyster Bay Regional Shoreline,4420.8,4532,4759.272727272727,3490
OZ Cali Trail,4727.25,4267.5,4222.5,6241.5
OZ Creek,7099.173913043478,7256,7534.5,6104.142857142857
OZ SEKI Gate,12380.347826086956,12619,12910.625,11168.285714285714
Phoenixx Home,4191,4104.5,4228.5,4078.5
Picone Home,8781.2,8935,8790.272727272728,8756.25
Point Isabel Regional Shoreline,13626.111111111111,14075,12191.166666666666,16496
Point Molate Beach Park,1494,1494,1494,NA
Point Pinole East,2565.266666666667,2526,2768.6363636363635,2006
Point Pinole South,2004.5714285714287,1891,2147,1648.5
Point Pinole West,1075,1075,1075,NA
Rifle Range Road Trailhead,5478.25,5468.5,5478.25,NA
Roberts Regional-Graham Trail,8566,8566,8566,NA
Rokoff Home,11529.3125,11468,11368.333333333334,12012.25
Scharnagl Home,9212.545454545454,8962,9223.5,9183.333333333334
Schell Home,4174.75,4032,4316.4,3466.5
Scott Home,3661,3753,3747,3489
Shannon Home,10049.5,9767,9897.916666666666,10504.25
Sherman Home,4074,3987,4029.777777777778,4273
Sherrer Home,5468.0625,5464,5459.75,5493
Shunick Home,3540.8571428571427,3525,3343.2,4035
Sibley Volcanic Regional Preserve,NA,NA,NA,NA
Skyline Gate Staging Area,2315.3333333333335,2399,2307,2338.25
Sobrante Ridge Regional Preserve,NA,NA,NA,NA
Squire Home,11293.25,11870,12502.833333333334,7664.5
Sunset View Cemetery,6038.6,6600,6497.909090909091,4775.5
Tarvin Home,6779.875,6655.5,6848.333333333333,6574.5
Temescal Regional Recreation Area,4994.375,4741,4988.333333333333,5012.5
The Dog Social Club,12871.3125,12797,12338.166666666666,14470.75
Tilden Nature Area-Jewel Lake,9513.5,9513.5,9513.5,NA
Tilden Nature Area-Loop Road Parking,8353,8353,8353,NA
Tilden Regional Park-Arroyo Pkwy,7441.5,7441.5,7441.5,NA
Tilden Regional Park-Lake Anza,10512.5,10512.5,10512.5,NA
Tilden Regional Park-Nimitz Way,3177,3177,3177,NA
Tilden Regional Park-Seaview Trail,8244,8244,8244,NA
Tudor Home,4010.25,4271.5,4457.333333333333,2669
UC Gill Tract,27643.125,26676.5,26134.833333333332,32168
UCB Women's Faculty Club,76280.28571428571,76317,75209.6,78957
University Village Community Garden,22470.266666666666,20992,20810.18181818182,27035.5
Urban Tilth's Edible Forest,19302.333333333332,19598,19931.636363636364,17571.75
Wakefield Home,24149.866666666665,23775,23557.545454545456,25778.75
Wildcat Canyon Regional Park,8655.1875,8322.5,8280.09090909091,9480.4
Wildcat Marsh Staging Area,2893,2391,2107.2727272727275,5053.75
Wilkinson Home,30086.23076923077,31129,30017.88888888889,30240
Williams Home,57983.625,57871,59995.333333333336,51948.5
Wolff Home,2096.3333333333335,2097,2141,1973.5
YES Nature to Neighborhoods,15210.3,15149,14259.642857142857,17428.5
