"","Name","mean_income","mean_age","mean_percent_white","mean_pop_density","mean_housing_density","restaurant_count","imp_surf","NatWalkInd","Ac_Total","Ac_Land","Ac_Water","Workers","CEC_mal_class_en.ID","CEC_mal_class_en.Class_EN","osm_landcov_fusion","osm_landcov_fusion_r","bio_1","bio_12","human_mod","total_road_length","road_density","area"
"1","Ahern Home",186489.80,44.65000,62.189687, 1737.53707, 684.95237,  1,  8,12.333333,  125.67012,  125.67012,   0.0000000, 458,  1,Temperate or Subpolar Needleaf Forest, 7.549614, 8,13.95,119.5,0.7039894,47354.123,0.015080175 [1/m^2],3140157 [m^2]
"2","Albany Waterfront Trail-Albany Bulb", 98920.00,36.78182,37.904651, 5394.99537,2072.03553,  1, 49,12.500000,  433.45887,  159.35553, 274.1033351, 360,  2,Urban and Built-up, 7.000000, 7,14.35,122.2,0.6300442,29239.094,0.009311347 [1/m^2],3140157 [m^2]
"3","Albe Home",106843.61,42.37895,34.155755, 3257.38381,1336.77078, 18, 55,13.166667,  119.99818,  119.99818,   0.0000000, 824,  3,Urban and Built-up,17.269869,17,14.35,130.1,0.8217065,63443.744,0.020204001 [1/m^2],3140157 [m^2]
"4","Alexander Home",112022.19,42.03529,33.858350, 2987.42827,1162.05331,  9, 64,18.333333,   76.13052,   76.13052,   0.0000000, 399,  4,Urban and Built-up,18.916906,19,14.35,128.7,0.9169993,69772.709,0.022219494 [1/m^2],3140157 [m^2]
"5","Andrews Home",178170.47,45.09412,58.695437, 3516.15331,1533.20084, 35, 52,13.166667,   39.64596,   39.64596,   0.0000000, 440,  5,Urban and Built-up,19.834352,20,14.15,108.8,0.9253537,50464.354,0.016070645 [1/m^2],3140157 [m^2]
"6","Bataclan Home", 97470.41,37.29630,49.614760, 6147.16581,3339.48930,103, 84,18.000000,   35.80405,   35.80405,   0.0000000, 482,  6,Urban and Built-up,21.076248,21,14.25,109.0,0.9341115,76804.358,0.024458761 [1/m^2],3140157 [m^2]
"7","Bates-Luterman Home", 63842.88,34.72500,11.562609, 7984.27796,2518.24408,  3, 88,13.166667,   36.65432,   36.65432,   0.0000000, 507,  7,Urban and Built-up,17.484705,17,14.25,100.8,0.9382263,54522.524,0.017362991 [1/m^2],3140157 [m^2]
"8","Beery Home",220164.00,50.60000,70.055999,  305.08053, 112.54763,  1,  0, 6.500000, 3400.49556, 3400.49556,   0.0000000, 875,  8,Temperate or Subpolar Needleaf Forest, 6.496240, 6,13.75,133.2,0.6106054,19840.165,0.006318207 [1/m^2],3140157 [m^2]
"9","Belau Home",112023.95,40.01739,41.585710, 5110.63464,2218.26119, 30, 43,14.333333,   42.18639,   42.18639,   0.0000000, 712,  9,Urban and Built-up,19.749874,20,14.15,104.1,0.9291766,64037.795,0.020393180 [1/m^2],3140157 [m^2]
"10","Belgum Trail",124991.57,46.35714,47.664594, 1969.15468, 856.51838,  1,  0,10.500000, 2208.27241, 2208.27241,   0.0000000, 966, 10,Mixed Forest,10.977633,11,14.25,131.6,0.5923384,23231.364,0.007398153 [1/m^2],3140157 [m^2]
"11","Berges Home",100139.75,42.71500,25.010026, 4736.22645,1777.23887, 36, 70,13.833333,  108.69114,  108.69114,   0.0000000,1273, 11,Urban and Built-up,14.668807,15,14.35, 95.9,0.9357814,60465.368,0.019255522 [1/m^2],3140157 [m^2]
"12","Berges Studio", 69430.27,37.33704,27.827331, 7905.78811,4090.74553, 54, 94,18.833333,   60.95809,   60.95809,   0.0000000, 757, 12,Urban and Built-up,14.680560,15,14.25,106.9,0.9555477,85056.095,0.027086571 [1/m^2],3140157 [m^2]
"13","Blake Garden",154107.38,49.01538,59.161507, 1816.76453, 778.21784,  1,  5,13.000000,  112.85996,  112.85996,   0.0000000, 416, 13,Urban and Built-up,18.305048,18,14.15,129.9,0.8434232,38680.892,0.012318138 [1/m^2],3140157 [m^2]
"14","Booker T. Anderson Park", 64334.91,34.66154,18.605388, 3256.70553,1285.03071,  4, 37,12.333333,  156.67647,  156.67647,   0.0000000,1126, 14,Urban and Built-up,17.405960,17,14.35,127.5,0.9314634,60371.039,0.019225482 [1/m^2],3140157 [m^2]
"15","Borozan Home", 89407.56,34.68125,27.279576, 4389.35462,1864.97228, 15, 61,16.000000,   27.83285,   27.83285,   0.0000000, 459, 15,Urban and Built-up,18.376688,18,14.15,109.3,0.9444691,68492.942,0.021811946 [1/m^2],3140157 [m^2]
"16","Briones 1 South",210380.25,51.65000,68.574107,  195.43538,  75.26366,  1,  0, 4.000000,17980.33701,16534.83413,1445.5028770, 977, 16,Mixed Forest,10.942266,11,14.15,121.8,0.3911764, 6194.855,0.001972785 [1/m^2],3140157 [m^2]
"17","Briones 2 North",182843.50,54.20000,62.144624,   64.43421,  26.34251,  1,  0, 4.833333, 5344.01885, 5344.01885,   0.0000000, 955, 17,Mixed Forest,11.011691,11,14.25,120.6,0.4067208,10985.097,0.003498263 [1/m^2],3140157 [m^2]
"18","Bushrod Community Garden",112968.58,35.95556,51.649074, 5614.69382,2441.30815, 53, 55,17.166667,   89.62910,   89.62910,   0.0000000,1173, 18,Urban and Built-up, 8.858348, 9,14.25,112.1,0.9424178,70882.498,0.022572913 [1/m^2],3140157 [m^2]
"19","Butterfly Hill", 98501.71,40.45714,32.413222, 2251.18471, 823.35892,  4,  0,10.500000, 2208.27241, 2208.27241,   0.0000000, 966, 19,Mixed Forest,10.895537,11,14.35,131.5,0.7405819,23328.163,0.007428979 [1/m^2],3140157 [m^2]
"20","Carlen Home",150859.35,41.37500,64.281849, 4843.62215,2225.41605, 63, 59,17.833333,   65.93938,   65.93938,   0.0000000, 803, 20,Urban and Built-up,22.155064,22,14.25,115.3,0.9240592,68422.437,0.021789493 [1/m^2],3140157 [m^2]
"21","Carquinez", 70512.00,45.96667,56.475245, 1183.16639, 534.06002,  1,  0, 8.666667, 3198.21802, 2729.90718, 468.3108388, 609, 21,Mixed Forest,11.000000,11,14.55,118.7,0.7027321,20079.314,0.006394365 [1/m^2],3140157 [m^2]
"22","Chabot Space Center",171900.60,49.02000,64.765228,  971.36668, 340.01667,  1, 10, 8.833333,  787.41034,  787.41034,   0.0000000, 705, 22,Urban and Built-up, 6.007633, 6,13.45,121.9,0.5654653,10242.938,0.003261919 [1/m^2],3140157 [m^2]
"23","Chen Home",132294.32,41.60333,46.127697, 6194.08649,3112.46529, 49, 50,16.333333,   93.42406,   93.42406,   0.0000000, 698, 23,Urban and Built-up,16.451654,16,14.25,106.6,0.9345726,65662.757,0.020910658 [1/m^2],3140157 [m^2]
"24","Claremont-Clark Kerr Trak",135459.18,32.96471,54.610345,10722.35111,2874.59298,  6,  0,10.166667, 1703.59117, 1703.59117,   0.0000000,1432, 24,Temperate or Subpolar Needleaf Forest,15.929943,16,14.15,120.2,0.8143945,48747.058,0.015523763 [1/m^2],3140157 [m^2]
"25","Cleary Home",201301.29,44.40000,59.967523,  978.63736, 480.99861,  1,  5, 9.500000,  544.44531,  544.44531,   0.0000000,1161, 25,Urban and Built-up,14.924394,15,13.65,125.8,0.6614766,24305.653,0.007740266 [1/m^2],3140157 [m^2]
"26","Corica Park Golf Course",116156.33,44.74000,40.604047, 3404.97971,1274.42127,  1, 70,15.500000, 1243.67308,  848.98074, 394.6923358,1374, 26,Urban and Built-up,14.164080,14,14.25,100.5,0.7032094,32985.667,0.010504463 [1/m^2],3140157 [m^2]
"27","Crown Memorial State Beach",107332.13,40.51250,41.202577, 5443.72671,2341.43108, 29, 61,15.666667,  345.99461,   98.04286, 247.9517537, 266, 27,Urban and Built-up, 8.250676, 8,NA,105.0,NA,47100.818,0.014999509 [1/m^2],3140157 [m^2]
"28","Dunn Home",100616.70,34.99286,44.767460, 5580.21254,2587.28681, 70, 58,12.500000,   50.57322,   50.57322,   0.0000000, 488, 28,Urban and Built-up,16.231041,16,14.25,110.3,0.9480882,75447.736,0.024026737 [1/m^2],3140157 [m^2]
"29","Dwyer Home", 86884.65,34.67647,27.242518, 4335.17383,1849.30510, 15, 83,17.500000,   42.43473,   42.43473,   0.0000000, 462, 29,Urban and Built-up,19.185987,19,14.15,110.0,0.9444691,73070.128,0.023269575 [1/m^2],3140157 [m^2]
"30","Ehara-Brown Home", 86953.77,39.96000,37.243365, 3568.29937,1512.26221, 15, 63,14.333333,   96.22716,   96.22716,   0.0000000, 851, 30,Urban and Built-up,13.925851,14,14.35,126.6,0.9413145,68548.574,0.021829662 [1/m^2],3140157 [m^2]
"31","Emerson Home",121205.69,41.48966,52.344390, 7950.39761,4531.51222, 69, 83,15.333333,   40.43075,   40.43075,   0.0000000, 782, 31,Urban and Built-up,17.183567,17,14.25,107.8,0.9382673,66068.542,0.021039883 [1/m^2],3140157 [m^2]
"32","Estien Home", 96196.04,35.52759,45.768913, 6568.41289,2764.15953, 34, 56,13.333333,   21.67388,   21.67388,   0.0000000, 343, 32,Urban and Built-up,16.066381,16,14.35,113.5,0.9451898,64832.058,0.020646117 [1/m^2],3140157 [m^2]
"33","Fahrer Home",157676.86,46.18750,67.018366, 1412.11325, 581.21986,  1,NA, 6.666667,  634.00893,  634.00893,   0.0000000,1111, 33,Urban and Built-up,NA,NA,14.65, 83.5,0.8311743,30084.109,0.009580446 [1/m^2],3140157 [m^2]
"34","Foothill Lot",115606.67,29.02000,50.492139,12017.10512,3098.57357, 15,  8,13.500000,  419.89406,  419.89406,   0.0000000, 253, 34,Urban and Built-up,11.000000,11,13.95,123.8,0.7160372,41656.221,0.013265648 [1/m^2],3140157 [m^2]
"35","Fortmann Home",178285.25,46.03125,59.705033, 3304.34176,1445.57137, 24, 56,13.166667,   39.64596,   39.64596,   0.0000000, 440, 35,Urban and Built-up,19.916107,20,14.15,108.8,0.8445918,45282.295,0.014420390 [1/m^2],3140157 [m^2]
"36","Frey Home",105972.38,43.32778,45.418035, 3899.96650,1594.63398, 54, 48,16.166667,   71.49641,   71.49641,   0.0000000, 562, 36,Urban and Built-up,17.280157,17,14.25, 99.8,0.8775038,58960.055,0.018776146 [1/m^2],3140157 [m^2]
"37","Fuller Home",168084.67,46.24667,58.440006, 2418.25884,1015.99341, 20, 44,12.000000,  146.59850,  146.59850,   0.0000000, 595, 37,Urban and Built-up,20.297924,20,13.95,112.4,0.7832310,45129.677,0.014371788 [1/m^2],3140157 [m^2]
"38","Getz Home",117701.00,38.06316,55.762857, 6512.74627,3041.46270, 36, 36,15.333333,   45.22548,   45.22548,   0.0000000, 280, 38,Urban and Built-up,15.632812,16,14.15,122.7,0.8247009,55245.275,0.017593155 [1/m^2],3140157 [m^2]
"39","Gunther-Murphy Home",152301.53,43.89412,60.018488, 6050.43947,3342.16839, 21, 52,14.833333,  112.51921,  112.51921,   0.0000000, 775, 39,Urban and Built-up,17.543293,18,14.25,110.8,0.9084806,44957.015,0.014316803 [1/m^2],3140157 [m^2]
"40","Hamilton Home",155328.33,46.90000,51.529428, 1227.56624, 349.00610,  1, 16, 6.833333,  853.34305,  853.34305,   0.0000000,1102, 40,Urban and Built-up,28.000000,28,14.15,102.6,0.5942307,12640.250,0.004025356 [1/m^2],3140157 [m^2]
"41","Harley Home",179882.33,42.69167,65.887878, 3225.50620,1467.00343, 33, 37,14.500000,  121.63745,  121.63745,   0.0000000, 607, 41,Urban and Built-up, 7.791925, 8,14.15,113.3,0.8454198,45965.523,0.014637968 [1/m^2],3140157 [m^2]
"42","Herman Home", 91518.87,35.86875,46.491067, 6857.78630,2937.58228, 27, 51,14.833333,   49.45879,   49.45879,   0.0000000, 599, 42,Urban and Built-up, 6.327004, 6,14.35,113.5,0.9400950,63051.001,0.020078930 [1/m^2],3140157 [m^2]
"43","Hilltop Lake Park", 81778.82,37.04167,11.151022, 2977.29716,1226.76683,  9,  9,16.000000,  173.45728,  167.07716,   6.3801220, 160, 43,Urban and Built-up,10.017038,10,14.45,129.0,0.8681665,41114.035,0.013092986 [1/m^2],3140157 [m^2]
"44","Hirooka Home",200765.30,47.85000,63.816388, 1640.10216, 622.49305, 22,  2, 8.833333,  787.41034,  787.41034,   0.0000000, 705, 44,Urban and Built-up,19.471203,19,13.95,115.5,0.7718449,50252.223,0.016003091 [1/m^2],3140157 [m^2]
"45","Hoover Home",143363.06,45.29412,56.747188, 3768.78286,1598.16067,  4, 60,14.833333,   87.09583,   87.09583,   0.0000000, 452, 45,Urban and Built-up, 8.958437, 9,14.25,126.9,0.8770081,46321.467,0.014751320 [1/m^2],3140157 [m^2]
"46","Huckleberry Botanic Regional Preserve",200198.25,43.88750,62.530001, 1185.49305, 453.55756,  1,  0,11.500000, 2958.76972, 2958.28367,   0.4860457, 961, 46,Temperate or Subpolar Needleaf Forest, 7.120765, 7,13.45,126.5,0.6457288,21757.996,0.006928951 [1/m^2],3140157 [m^2]
"47","Huntsinger Home",124617.33,45.43077,44.712823, 2594.83829,1127.10180,  1,  0,11.333333,  109.03930,  109.03930,   0.0000000, 389, 47,Urban and Built-up, 6.966621, 7,14.05,131.5,0.8314691,38430.870,0.012238517 [1/m^2],3140157 [m^2]
"48","Jean Sweeney Park",107793.40,38.72353,44.701146, 4345.75782,1901.79554,  4, 75,12.833333,   52.16899,   52.16899,   0.0000000, 516, 48,Urban and Built-up,10.303386,10,14.25,103.4,0.8492950,45154.732,0.014379767 [1/m^2],3140157 [m^2]
"49","John Herbert Davis Park", 62940.35,33.91176, 5.725945, 5519.76378,1593.14623,  1, 25,15.666667,  104.21986,  104.21986,   0.0000000, 856, 49,Urban and Built-up, 7.635078, 8,14.35,129.0,0.9124587,46696.090,0.014870621 [1/m^2],3140157 [m^2]
"50","Johns Home",188823.17,44.50000,61.114733, 1956.36877, 745.58437,  1,  5, 5.833333,  335.22945,  335.22945,   0.0000000, 904, 50,Urban and Built-up,10.107429,10,13.75,122.7,0.7786648,37089.343,0.011811301 [1/m^2],3140157 [m^2]
"51","Kennedy Grove ",138785.50,44.70000,36.894653,  136.39857,  55.69409,  1,  0, 4.000000,17980.33701,16534.83413,1445.5028770, 977, 51,Mixed Forest,10.909314,11,14.45,137.6,0.5176917,14851.634,0.004729583 [1/m^2],3140157 [m^2]
