"","Name","UWIN.Code","Notes","mean_income","mean_age","mean_percent_white","mean_pop_density","mean_housing_density","restaurant_count.x","restaurant_count.y","total_road_length","road_density","road_area","distance_to_road","imp_surf","ndvi","elev","nightlights","nldc_landcover","bio_1","bio_12","human_mod","NatWalkInd","Ac_Total","Ac_Land","Ac_Water","Workers","dist2nearest_camera","geometry","buffer_size"
"1","Ahern Home",NA,"IOR",186489.8,44.65,62.1896866441924,1737.53707020879,684.952370709277,1,1,47354.1227879552,0.0150801750164966,3140157.37457644,296.357073136816,18.2420400112708,0.249516373260377,189.727005004883,7.3,"Urban and Built-up",13.8099998474121,121.22,0.764121055603027,9.5,544.445314,544.445314,0,1161,476.719897963641,c(-122.210054, 37.838156),1000
"2","Ahern Home",NA,"IOR",186489.8,44.65,62.1896866441924,1737.53707020879,684.952370709277,1,1,47354.1227879552,0.0150801750164966,3140157.37457644,296.357073136816,18.2420400112708,0.249516373260377,189.727005004883,7.3,"Urban and Built-up",13.8099998474121,121.22,0.764121055603027,5.83333333333333,335.2294505,335.2294505,0,904,476.719897963641,c(-122.210054, 37.838156),1000
"3","Ahern Home",NA,"IOR",186489.8,44.65,62.1896866441924,1737.53707020879,684.952370709277,1,1,47354.1227879552,0.0150801750164966,3140157.37457644,296.357073136816,18.2420400112708,0.249516373260377,189.727005004883,7.3,"Urban and Built-up",13.8099998474121,121.22,0.764121055603027,11,168.1078133,168.1078133,0,690,476.719897963641,c(-122.210054, 37.838156),1000
"4","Ahern Home",NA,"IOR",186489.8,44.65,62.1896866441924,1737.53707020879,684.952370709277,1,1,47354.1227879552,0.0150801750164966,3140157.37457644,296.357073136816,18.2420400112708,0.249516373260377,189.727005004883,7.3,"Urban and Built-up",13.8099998474121,121.22,0.764121055603027,12.3333333333333,125.670118,125.670118,0,458,476.719897963641,c(-122.210054, 37.838156),1000
"5","Ahern Home",NA,"IOR",186489.8,44.65,62.1896866441924,1737.53707020879,684.952370709277,1,1,47354.1227879552,0.0150801750164966,3140157.37457644,296.357073136816,18.2420400112708,0.249516373260377,189.727005004883,7.3,"Urban and Built-up",13.8099998474121,121.22,0.764121055603027,12.5,138.296928,138.296928,0,623,476.719897963641,c(-122.210054, 37.838156),1000
"6","Ahern Home",NA,"IOR",186489.8,44.65,62.1896866441924,1737.53707020879,684.952370709277,1,1,47354.1227879552,0.0150801750164966,3140157.37457644,296.357073136816,18.2420400112708,0.249516373260377,189.727005004883,7.3,"Urban and Built-up",13.8099998474121,121.22,0.764121055603027,14.6666666666667,198.5317537,198.5317537,0,769,476.719897963641,c(-122.210054, 37.838156),1000
"7","Ahern Home",NA,"IOR",186489.8,44.65,62.1896866441924,1737.53707020879,684.952370709277,1,1,47354.1227879552,0.0150801750164966,3140157.37457644,296.357073136816,18.2420400112708,0.249516373260377,189.727005004883,7.3,"Urban and Built-up",13.8099998474121,121.22,0.764121055603027,17.6666666666667,266.6448687,266.6448687,0,997,476.719897963641,c(-122.210054, 37.838156),1000
"8","Ahern Home",NA,"IOR",186489.8,44.65,62.1896866441924,1737.53707020879,684.952370709277,1,1,47354.1227879552,0.0150801750164966,3140157.37457644,296.357073136816,18.2420400112708,0.249516373260377,189.727005004883,7.3,"Urban and Built-up",13.8099998474121,121.22,0.764121055603027,15.5,102.3483258,102.3483258,0,543,476.719897963641,c(-122.210054, 37.838156),1000
"9","Ahern Home",NA,"IOR",186489.8,44.65,62.1896866441924,1737.53707020879,684.952370709277,1,1,47354.1227879552,0.0150801750164966,3140157.37457644,296.357073136816,18.2420400112708,0.249516373260377,189.727005004883,7.3,"Urban and Built-up",13.8099998474121,121.22,0.764121055603027,10.5,270.0971028,268.8267617,1.2703411,872,476.719897963641,c(-122.210054, 37.838156),1000
"10","Ahern Home",NA,"IOR",186489.8,44.65,62.1896866441924,1737.53707020879,684.952370709277,1,1,47354.1227879552,0.0150801750164966,3140157.37457644,296.357073136816,18.2420400112708,0.249516373260377,189.727005004883,7.3,"Urban and Built-up",13.8099998474121,121.22,0.764121055603027,12.6666666666667,465.3552757,465.3552757,0,590,476.719897963641,c(-122.210054, 37.838156),1000
"11","Albany Waterfront Trail-Albany Bulb","AWT-AB","",98920,36.7818181818182,37.9046512881422,5394.99536872865,2072.03552829417,1,1,29239.0936393744,0.00931134658285047,3140157.37457637,305.811791307068,32.3698784967508,0.0753130094239132,3.30424809455872,10.6,"Urban and Built-up",14.3500003814697,123.033333333333,0.761578172445297,14.1666666666667,985.9201044,567.9798593,417.9402451,750,908.651382165591,c(-122.312563, 37.889749),1000
"12","Albany Waterfront Trail-Albany Bulb","AWT-AB","",98920,36.7818181818182,37.9046512881422,5394.99536872865,2072.03552829417,1,1,29239.0936393744,0.00931134658285047,3140157.37457637,305.811791307068,32.3698784967508,0.0753130094239132,3.30424809455872,10.6,"Urban and Built-up",14.3500003814697,123.033333333333,0.761578172445297,12.5,433.4588664,159.3555313,274.1033351,360,908.651382165591,c(-122.312563, 37.889749),1000
