"","Name","UWIN.Code","Start.Date","End.Date","Num.Days","Notes","states_abbrev","mean_income","mean_age","mean_percent_white","mean_pop_density","mean_housing_density","mean_daily_visits","median_daily_visits","mean_weekday_visits","mean_weekend_visits","restaurant_count","total_road_length","road_density","road_area","distance_to_road","imp_surf","ndvi","elev","nightlight_avg","nldc_landcover","bio_1","bio_12","human_mod","NatWalkInd","Ac_Total","Ac_Land","Ac_Water","Workers","dist2nearest_camera","buffer_size","X","BURDEN_RESCALED_AV_PCT","BURDEN_RESCALED_MAX_PCT","MAX_POLL_RAW","MEAN_POLL_RAW","OGBURDEN_AV","OGBURDEN_MAX","geometry"
"1","Ahern Home",NA,"01/25/2023","02/01/2023",7,"IOR","CA",179060.5,41.35,63.7734562761709,2050.70866988506,783.184668105247,3378,3316.5,3549.83333333333,2862.5,1,10450.5284240629,0.0133121078690782,785039.343644271,456.651189171873,13.2460317460317,0.266804319353799,237.14877424321,2.25370236178417,"Urban and Built-up",13.9499998092651,119.5,0.703989446163177,5.83333333333333,335.2294505,335.2294505,0,904,476.719897963641,500,1,5.691056911,7.317073171,34.38327414,23.96526226,12.19512195,19.51219512,c(-122.210054, 37.838156)
"2","Ahern Home",NA,"01/25/2023","02/01/2023",7,"IOR","CA",179060.5,41.35,63.7734562761709,2050.70866988506,783.184668105247,3378,3316.5,3549.83333333333,2862.5,1,10450.5284240629,0.0133121078690782,785039.343644271,456.651189171873,13.2460317460317,0.266804319353799,237.14877424321,2.25370236178417,"Urban and Built-up",13.9499998092651,119.5,0.703989446163177,11,168.1078133,168.1078133,0,690,476.719897963641,500,1,5.691056911,7.317073171,34.38327414,23.96526226,12.19512195,19.51219512,c(-122.210054, 37.838156)
"3","Ahern Home",NA,"01/25/2023","02/01/2023",7,"IOR","CA",179060.5,41.35,63.7734562761709,2050.70866988506,783.184668105247,3378,3316.5,3549.83333333333,2862.5,1,10450.5284240629,0.0133121078690782,785039.343644271,456.651189171873,13.2460317460317,0.266804319353799,237.14877424321,2.25370236178417,"Urban and Built-up",13.9499998092651,119.5,0.703989446163177,12.3333333333333,125.670118,125.670118,0,458,476.719897963641,500,1,5.691056911,7.317073171,34.38327414,23.96526226,12.19512195,19.51219512,c(-122.210054, 37.838156)
"4","Ahern Home",NA,"01/25/2023","02/01/2023",7,"IOR","CA",179060.5,41.35,63.7734562761709,2050.70866988506,783.184668105247,3378,3316.5,3549.83333333333,2862.5,1,10450.5284240629,0.0133121078690782,785039.343644271,456.651189171873,13.2460317460317,0.266804319353799,237.14877424321,2.25370236178417,"Urban and Built-up",13.9499998092651,119.5,0.703989446163177,12.5,138.296928,138.296928,0,623,476.719897963641,500,1,5.691056911,7.317073171,34.38327414,23.96526226,12.19512195,19.51219512,c(-122.210054, 37.838156)
"5","Albany Waterfront Trail-Albany Bulb","AWT-AB","11/29/2023","12/13/2023",14,"","CA",105871,34.1,36.4338193452117,669.41837526182,283.467221667584,7833.2,7103,6862.90909090909,10501.5,1,7990.75311560745,0.0101787931780759,785039.343644269,305.811791307068,34.0541760722348,0.0920645344317961,3.34054161791463,2.49565139894982,"Urban and Built-up",14.3500003814697,122.2,0.740065306425095,12.5,433.4588664,159.3555313,274.1033351,360,908.651382165591,500,2,89.43089431,90.24390244,60.13210098,52.56645591,88.61788618,83.7398374,c(-122.312563, 37.889749)
"6","Albany Waterfront Trail-Albany Bulb","AWT-AB","11/29/2023","12/13/2023",14,"","CA",105871,34.1,36.4338193452117,669.41837526182,283.467221667584,7833.2,7103,6862.90909090909,10501.5,1,7990.75311560745,0.0101787931780759,785039.343644269,305.811791307068,34.0541760722348,0.0920645344317961,3.34054161791463,2.49565139894982,"Urban and Built-up",14.3500003814697,122.2,0.740065306425095,17.8333333333333,677.3675699,273.9024428,403.4651271,798,908.651382165591,500,2,89.43089431,90.24390244,60.13210098,52.56645591,88.61788618,83.7398374,c(-122.312563, 37.889749)
"7","Albe Home",NA,"11/21/2022","12/06/2022",15,"IOR","CA",112097,45.2428571428571,41.2782149146058,3250.20939120423,1184.45021753143,8375.125,8460,8073,9281.5,1,15418.0005689791,0.0196397807241186,785039.34364425,241.280063776794,60.9367231638418,0.139213012909426,52.2924721975633,2.76820045857974,"Urban and Built-up",14.3500003814697,130.1,0.821706473827362,15.1666666666667,58.5770318,58.5770318,0,452,581.992202196402,500,3,92.68292683,96.74796748,46.27273619,38.10089326,57.72357724,54.47154472,c(-122.3209, 37.942801)
"8","Albe Home",NA,"11/21/2022","12/06/2022",15,"IOR","CA",112097,45.2428571428571,41.2782149146058,3250.20939120423,1184.45021753143,8375.125,8460,8073,9281.5,1,15418.0005689791,0.0196397807241186,785039.34364425,241.280063776794,60.9367231638418,0.139213012909426,52.2924721975633,2.76820045857974,"Urban and Built-up",14.3500003814697,130.1,0.821706473827362,14.5,52.5885633,52.5885633,0,361,581.992202196402,500,3,92.68292683,96.74796748,46.27273619,38.10089326,57.72357724,54.47154472,c(-122.3209, 37.942801)
"9","Albe Home",NA,"11/21/2022","12/06/2022",15,"IOR","CA",112097,45.2428571428571,41.2782149146058,3250.20939120423,1184.45021753143,8375.125,8460,8073,9281.5,1,15418.0005689791,0.0196397807241186,785039.34364425,241.280063776794,60.9367231638418,0.139213012909426,52.2924721975633,2.76820045857974,"Urban and Built-up",14.3500003814697,130.1,0.821706473827362,14.6666666666667,66.0985087,66.0985087,0,351,581.992202196402,500,3,92.68292683,96.74796748,46.27273619,38.10089326,57.72357724,54.47154472,c(-122.3209, 37.942801)
"10","Albe Home",NA,"11/21/2022","12/06/2022",15,"IOR","CA",112097,45.2428571428571,41.2782149146058,3250.20939120423,1184.45021753143,8375.125,8460,8073,9281.5,1,15418.0005689791,0.0196397807241186,785039.34364425,241.280063776794,60.9367231638418,0.139213012909426,52.2924721975633,2.76820045857974,"Urban and Built-up",14.3500003814697,130.1,0.821706473827362,14.3333333333333,110.7437954,110.7437954,0,605,581.992202196402,500,3,92.68292683,96.74796748,46.27273619,38.10089326,57.72357724,54.47154472,c(-122.3209, 37.942801)
